iter	Passed	Remaining
1329	4724	599
1330	4727	596
1331	4731	592
1332	4732	588
1333	4733	585
1334	4734	581
1335	4736	577
1336	4737	573
1337	4740	569
1338	4740	565
1339	4741	561
1340	4742	558
1341	4743	554
1342	4745	550
1343	4748	546
1344	4748	543
1345	4750	539
1346	4754	535
1347	4755	531
1348	4756	528
1349	4757	524
1350	4758	520
1351	4763	517
1352	4764	513
1353	4764	509
1354	4766	505
1355	4767	501
1356	4768	498
1357	4770	494
1358	4771	490
1359	4772	486
1360	4773	482
1361	4776	479
1362	4777	475
1363	4778	471
1364	4779	468
1365	4780	464
1366	4781	460
1367	4786	457
1368	4786	453
1369	4787	449
1370	4788	445
1371	4789	442
1372	4790	438
1373	4790	434
1374	4792	430
1375	4792	427
1376	4793	423
1377	4794	419
1378	4795	415
1379	4803	412
1380	4803	409
1381	4804	405
1382	4805	401
1383	4806	397
1384	4807	394
1385	4807	390
1386	4808	386
1387	4809	383
1388	4809	379
1389	4810	375
1390	4811	371
1391	4812	368
1392	4813	364
1393	4814	361
1394	4815	357
1395	4816	353
1396	4817	350
1397	4818	346
1398	4948	351
1399	4949	348
1400	4950	344
1401	4951	340
1402	4952	336
1403	4952	333
1404	4953	329
1405	4954	325
1406	4956	322
1407	4957	318
1408	4957	314
1409	4958	311
1410	4959	307
1411	4960	303
1412	4963	300
1413	4965	296
1414	4966	292
1415	4970	289
1416	4984	286
1417	4984	282
1418	4985	278
1419	4986	275
1420	4987	271
1421	4988	267
1422	4990	264
1423	4990	260
1424	4992	256
1425	4993	253
1426	4996	249
1427	4997	246
1428	5044	244
1429	5045	241
1430	5046	237
1431	5047	233
1432	5047	230
1433	5048	226
1434	5050	222
1435	5052	219
1436	5053	215
1437	5054	211
1438	5055	208
1439	5056	204
1440	5057	201
1441	5057	197
1442	5058	193
1443	5059	190
1444	5060	186
1445	5061	182
1446	5062	179
1447	5063	175
1448	5064	172
1449	5064	168
1450	5065	164
1451	5067	161
1452	5068	157
1453	5069	154
1454	5069	150
1455	5070	146
1456	5071	143
1457	5076	139
1458	5077	136
1459	5078	132
1460	5079	129
1461	5080	125
1462	5081	122
1463	5082	118
1464	5083	115
1465	5083	111
1466	5084	107
1467	5084	104
1468	5086	100
1469	5087	97
1470	5087	93
1471	5089	90
1472	5089	86
1473	5090	83
1474	5090	79
1475	5099	76
1476	5100	72
1477	5101	69
1478	5102	65
1479	5147	62
1480	5148	59
1481	5150	55
1482	5151	52
1483	5152	48
1484	5153	45
1485	5154	41
1486	5154	38
1487	5158	34
1488	5159	31
1489	5160	27
1490	5161	24
1491	5161	20
1492	5162	17
1493	5163	13
1494	5163	10
1495	5164	6
1496	5165	3
1497	5166	0
